ntrl,morph,pos,ecc,rt,response
1,67,7,7,1.15,LeftArrow
2,0,1,7,0.83333,LeftArrow
3,50,6,7,0.8667,RightArrow
4,0,7,7,0.91668,RightArrow
5,17,2,7,0.63337,LeftArrow
6,33,3,7,0.83335,LeftArrow
7,83,0,7,1.0834,LeftArrow
8,100,5,7,0.66664,RightArrow
9,0,6,7,0.68333,LeftArrow
10,0,2,7,1.0166,LeftArrow
11,33,1,7,1.2833,RightArrow
12,0,0,7,0.66673,LeftArrow
13,100,3,7,0.76673,RightArrow
14,83,5,7,0.79996,RightArrow
15,67,2,7,0.99998,LeftArrow
16,50,2,7,1.1501,LeftArrow
17,33,2,7,0.63331,LeftArrow
18,33,4,7,0.63337,LeftArrow
19,100,1,7,0.73333,RightArrow
20,17,3,7,1.1,LeftArrow
21,0,1,7,0.94999,LeftArrow
22,67,0,7,0.74995,RightArrow
23,0,4,7,1.1166,LeftArrow
24,17,5,7,1.0833,LeftArrow
25,0,5,7,0.76665,LeftArrow
26,83,3,7,0.6333,RightArrow
27,17,5,7,0.79999,LeftArrow
28,83,7,7,0.68337,RightArrow
29,83,6,7,1.0501,LeftArrow
30,0,4,7,2.1667,LeftArrow
31,33,0,7,0.9167,LeftArrow
32,17,2,7,0.66665,LeftArrow
33,83,1,7,0.61665,RightArrow
34,100,5,7,0.86664,RightArrow
35,83,5,7,0.63335,RightArrow
36,100,0,7,0.56665,RightArrow
37,17,4,7,0.68329,LeftArrow
38,67,0,7,1.8501,RightArrow
39,100,2,7,0.99999,RightArrow
40,17,3,7,0.78333,LeftArrow
41,50,3,7,0.6167,LeftArrow
42,0,2,7,0.59995,LeftArrow
43,83,7,7,0.55001,RightArrow
44,67,4,7,0.58336,RightArrow
45,33,6,7,0.70008,LeftArrow
46,50,3,7,0.58332,RightArrow
47,33,2,7,0.70001,LeftArrow
48,67,6,7,0.6167,RightArrow
49,100,7,7,0.50005,RightArrow
50,83,4,7,0.54998,LeftArrow
51,100,1,7,0.53335,RightArrow
52,33,5,7,0.81669,LeftArrow
53,50,4,7,0.56667,LeftArrow
54,17,4,7,0.48339,LeftArrow
55,50,0,7,1.3167,LeftArrow
56,50,1,7,0.66666,RightArrow
57,0,3,7,0.76671,LeftArrow
58,100,2,7,0.64998,LeftArrow
59,33,4,7,0.58326,LeftArrow
60,50,0,7,0.75,RightArrow
61,17,6,7,0.63337,LeftArrow
62,83,4,7,0.81672,RightArrow
63,83,2,7,0.70008,RightArrow
64,17,0,7,0.83332,RightArrow
65,67,2,7,0.65005,RightArrow
66,33,5,7,0.5,LeftArrow
67,17,0,7,0.56668,LeftArrow
68,50,7,7,0.51671,LeftArrow
69,83,6,7,0.98333,RightArrow
70,67,5,7,0.73334,LeftArrow
71,0,7,7,1.0833,LeftArrow
72,33,0,7,0.56664,LeftArrow
73,67,4,7,0.48333,LeftArrow
74,83,2,7,0.53332,RightArrow
75,17,1,7,1.15,RightArrow
76,0,3,7,0.48333,LeftArrow
77,67,1,7,0.50005,LeftArrow
78,67,3,7,0.64992,RightArrow
79,100,3,7,0.81668,RightArrow
80,0,6,7,0.65001,LeftArrow
81,50,6,7,0.56667,LeftArrow
82,17,6,7,0.71675,LeftArrow
83,67,3,7,0.49996,RightArrow
84,33,1,7,0.88331,LeftArrow
85,100,7,7,0.68334,LeftArrow
86,67,7,7,0.49993,RightArrow
87,100,0,7,0.53329,RightArrow
88,17,1,7,0.65002,LeftArrow
89,33,7,7,0.5833,RightArrow
90,67,6,7,1.2,LeftArrow
91,33,7,7,0.61677,LeftArrow
92,67,5,7,0.81673,RightArrow
93,83,0,7,0.70007,RightArrow
94,33,3,7,0.73339,LeftArrow
95,100,6,7,0.74996,RightArrow
96,17,7,7,0.78333,LeftArrow
97,50,2,7,0.56669,RightArrow
98,100,4,7,0.71665,RightArrow
99,50,1,7,0.73337,RightArrow
100,0,5,7,0.70003,LeftArrow
101,17,7,7,0.90003,LeftArrow
102,50,5,7,0.73334,LeftArrow
103,50,4,7,0.83337,LeftArrow
104,100,6,7,0.93331,LeftArrow
105,67,1,7,0.66668,RightArrow
106,0,0,7,0.89995,RightArrow
107,50,5,7,1.1167,RightArrow
108,100,4,7,0.80005,RightArrow
109,50,7,7,0.65006,LeftArrow
110,83,1,7,0.9334,RightArrow
111,83,3,7,1.5834,LeftArrow
112,33,6,7,0.75,LeftArrow
