ntrl,morph,pos,ecc,rt,response
1,67,6,7,0.91712,RightArrow
2,100,4,7,0.51673,RightArrow
3,17,1,7,0.73332,LeftArrow
4,0,0,7,0.56671,LeftArrow
5,0,7,7,0.50002,LeftArrow
6,17,7,7,0.41666,LeftArrow
7,17,3,7,0.53335,RightArrow
8,83,0,7,0.68335,RightArrow
9,67,5,7,0.59999,RightArrow
10,50,7,7,1.0333,LeftArrow
11,50,6,7,0.8834,RightArrow
12,17,2,7,0.88333,LeftArrow
13,67,1,7,0.61677,RightArrow
14,17,1,7,0.9834,LeftArrow
15,50,0,7,0.88338,RightArrow
16,50,2,7,0.58339,RightArrow
17,83,2,7,0.48333,RightArrow
18,83,4,7,0.60014,RightArrow
19,67,5,7,0.50001,RightArrow
20,33,2,7,1.2334,RightArrow
21,83,3,7,0.56673,RightArrow
22,83,0,7,0.56665,RightArrow
23,17,0,7,0.68332,LeftArrow
24,50,6,7,1.0667,RightArrow
25,100,5,7,0.64997,RightArrow
26,0,1,7,0.45005,LeftArrow
27,67,1,7,0.76668,RightArrow
28,0,0,7,0.63338,LeftArrow
29,0,4,7,1.0333,LeftArrow
30,33,6,7,1.2,LeftArrow
31,83,7,7,0.73331,RightArrow
32,17,4,7,0.73333,LeftArrow
33,83,1,7,0.7167,RightArrow
34,33,2,7,0.64997,LeftArrow
35,33,7,7,0.9,LeftArrow
36,100,5,7,0.56667,RightArrow
37,67,0,7,0.98341,RightArrow
38,33,7,7,0.68342,LeftArrow
39,100,6,7,0.65002,RightArrow
40,50,0,7,0.65,LeftArrow
41,67,0,7,0.70001,RightArrow
42,33,0,7,0.58335,LeftArrow
43,100,0,7,0.65001,RightArrow
44,50,4,7,0.6333,LeftArrow
45,100,7,7,0.55001,RightArrow
46,33,3,7,0.68332,LeftArrow
47,0,4,7,0.61674,LeftArrow
48,100,1,7,0.48333,RightArrow
49,50,4,7,0.61667,LeftArrow
50,67,7,7,0.50004,RightArrow
51,50,1,7,0.81671,LeftArrow
52,100,4,7,0.58338,LeftArrow
53,100,3,7,0.65001,RightArrow
54,17,6,7,0.55002,LeftArrow
55,0,5,7,0.5834,LeftArrow
56,83,6,7,0.65007,RightArrow
57,50,5,7,0.86664,LeftArrow
58,100,3,7,0.65004,RightArrow
59,100,6,7,0.6834,RightArrow
60,50,5,7,0.61664,RightArrow
61,17,2,7,0.6167,LeftArrow
62,67,7,7,0.78335,RightArrow
63,17,5,7,0.66668,LeftArrow
64,17,0,7,0.56673,RightArrow
65,67,4,7,1.0502,RightArrow
66,67,6,7,0.66668,RightArrow
67,0,5,7,0.54997,LeftArrow
68,100,1,7,0.60001,RightArrow
69,100,7,7,0.56671,RightArrow
70,33,5,7,0.63333,LeftArrow
71,83,3,7,0.68335,RightArrow
72,17,3,7,0.63342,LeftArrow
73,17,4,7,0.60001,LeftArrow
74,100,2,7,0.5667,RightArrow
75,0,2,7,0.5667,LeftArrow
76,50,3,7,1.0333,RightArrow
77,33,1,7,1.1334,LeftArrow
78,67,3,7,1.65,RightArrow
79,67,3,7,0.6,RightArrow
80,50,1,7,0.63352,RightArrow
81,67,2,7,0.58331,RightArrow
82,0,3,7,0.56667,LeftArrow
83,33,1,7,0.75001,LeftArrow
84,83,4,7,0.65001,RightArrow
85,17,7,7,0.68338,LeftArrow
86,83,6,7,0.75002,RightArrow
87,0,2,7,0.63331,LeftArrow
88,100,2,7,0.59998,RightArrow
89,33,6,7,0.71669,LeftArrow
90,0,3,7,0.51673,LeftArrow
91,33,5,7,0.55001,LeftArrow
92,0,6,7,0.48339,LeftArrow
93,17,5,7,0.55003,LeftArrow
94,67,4,7,0.95005,LeftArrow
95,50,2,7,0.53326,RightArrow
96,83,7,7,0.43337,RightArrow
97,0,6,7,0.56664,LeftArrow
98,83,5,7,0.80006,RightArrow
99,83,5,7,0.51669,RightArrow
100,67,2,7,0.96672,RightArrow
101,50,7,7,1.0668,LeftArrow
102,50,3,7,1.1833,LeftArrow
103,33,0,7,0.61664,LeftArrow
104,0,7,7,0.66675,LeftArrow
105,17,6,7,0.55002,LeftArrow
106,0,1,7,0.51672,LeftArrow
107,83,1,7,0.71671,RightArrow
108,100,0,7,0.61668,RightArrow
109,33,3,7,0.66665,LeftArrow
110,83,2,7,0.60003,RightArrow
111,33,4,7,0.55008,LeftArrow
112,33,4,7,0.50004,LeftArrow
