ntrl,morph,pos,ecc,rt,response
1,17,2,7,1.6834,LeftArrow
2,0,5,7,0.85018,RightArrow
3,0,6,7,1.1667,LeftArrow
4,67,7,7,2.5334,RightArrow
5,0,1,7,2.1668,LeftArrow
6,67,1,7,1.3167,LeftArrow
7,0,6,7,0.81671,RightArrow
8,33,5,7,4.2501,LeftArrow
9,17,6,7,1.1334,RightArrow
10,100,4,7,1.05,RightArrow
11,17,0,7,0.88335,LeftArrow
12,83,7,7,0.90001,RightArrow
13,67,3,7,1.9667,RightArrow
14,100,5,7,1.8501,RightArrow
15,33,7,7,1.6667,RightArrow
16,50,3,7,2.0334,LeftArrow
17,33,6,7,1.7667,LeftArrow
18,0,2,7,0.81675,LeftArrow
19,0,7,7,1.2834,LeftArrow
20,100,1,7,1.0833,RightArrow
21,33,4,7,4.2334,LeftArrow
22,33,1,7,2.5001,LeftArrow
23,67,4,7,1.2833,RightArrow
24,100,7,7,1.5501,RightArrow
25,17,7,7,0.94998,LeftArrow
26,83,7,7,2.2334,LeftArrow
27,83,2,7,1.0334,RightArrow
28,100,0,7,1.7338,RightArrow
29,100,2,7,0.96672,RightArrow
30,0,0,7,0.95009,LeftArrow
31,83,5,7,1.0667,RightArrow
32,0,2,7,1.9334,LeftArrow
33,67,2,7,1.4333,LeftArrow
34,67,5,7,0.7667,RightArrow
35,100,2,7,1.1,RightArrow
36,33,0,7,1.5667,LeftArrow
37,33,5,7,0.88335,RightArrow
38,17,5,7,1.4167,RightArrow
39,83,3,7,0.99999,RightArrow
40,50,3,7,1.2334,RightArrow
41,100,4,7,2.9833,LeftArrow
42,83,4,7,1.4001,RightArrow
43,67,4,7,2.3168,RightArrow
44,50,6,7,2.4668,RightArrow
45,0,3,7,2.2833,LeftArrow
46,33,2,7,1.5834,LeftArrow
47,83,6,7,0.88341,RightArrow
48,67,1,7,0.93336,LeftArrow
49,100,1,7,0.81672,RightArrow
50,17,7,7,0.94999,LeftArrow
51,67,0,7,0.9667,LeftArrow
52,100,3,7,0.64999,RightArrow
53,67,6,7,0.66671,RightArrow
54,100,6,7,0.78327,RightArrow
55,33,2,7,1.8668,LeftArrow
56,100,3,7,0.60003,RightArrow
57,50,1,7,3.8001,LeftArrow
58,0,7,7,2.0501,LeftArrow
59,50,2,7,0.70006,LeftArrow
60,17,3,7,0.78336,LeftArrow
61,83,4,7,0.79997,RightArrow
62,50,0,7,1.0333,LeftArrow
63,83,3,7,0.98333,LeftArrow
64,83,2,7,1.6833,LeftArrow
65,50,4,7,1,LeftArrow
66,50,5,7,1.7334,RightArrow
67,50,7,7,1.0168,LeftArrow
68,67,3,7,1.6834,LeftArrow
69,0,4,7,1.3334,LeftArrow
70,17,4,7,1.3667,LeftArrow
71,50,2,7,0.75004,LeftArrow
72,67,7,7,3.0834,LeftArrow
73,0,0,7,0.78338,LeftArrow
74,50,1,7,0.9,LeftArrow
75,83,1,7,1.0835,LeftArrow
76,50,5,7,1.4334,RightArrow
77,83,0,7,0.99999,LeftArrow
78,33,3,7,1.2334,LeftArrow
79,67,0,7,1.05,LeftArrow
80,17,2,7,1.0667,LeftArrow
81,17,0,7,1.3167,LeftArrow
82,33,0,7,2.4834,LeftArrow
83,17,1,7,1.3833,LeftArrow
84,17,6,7,2.1334,RightArrow
85,17,3,7,0.73351,RightArrow
86,33,7,7,1.8167,RightArrow
87,33,4,7,0.73338,LeftArrow
88,100,0,7,1.5501,LeftArrow
89,50,7,7,0.95001,LeftArrow
90,33,1,7,0.90004,LeftArrow
91,67,2,7,1.2667,LeftArrow
92,17,4,7,0.81672,LeftArrow
93,50,6,7,3.0669,LeftArrow
94,0,4,7,0.95002,LeftArrow
95,0,3,7,1,LeftArrow
96,83,6,7,0.85006,RightArrow
97,50,4,7,0.75001,LeftArrow
98,17,5,7,1,RightArrow
99,50,0,7,0.65003,LeftArrow
100,67,6,7,0.8834,RightArrow
101,83,5,7,0.75002,RightArrow
102,83,0,7,1.0168,LeftArrow
103,33,3,7,1.2167,LeftArrow
104,0,1,7,1.0167,LeftArrow
105,100,5,7,0.73338,RightArrow
106,33,6,7,0.63329,RightArrow
107,67,5,7,0.95005,RightArrow
108,100,6,7,0.6167,RightArrow
109,83,1,7,1.0501,RightArrow
110,100,7,7,0.86667,RightArrow
111,17,1,7,1.3001,LeftArrow
112,0,5,7,1.3001,RightArrow
