ntrl,morph,pos,ecc,rt,response
1,67,7,7,1.1,LeftArrow
2,0,1,7,0.74998,LeftArrow
3,50,6,7,1.1167,RightArrow
4,0,7,7,1.6501,LeftArrow
5,17,2,7,1.1333,RightArrow
6,33,3,7,1.0167,LeftArrow
7,83,0,7,1.1667,RightArrow
8,100,5,7,0.99998,RightArrow
9,0,6,7,1.05,LeftArrow
10,0,2,7,0.78335,LeftArrow
11,33,1,7,1.4001,LeftArrow
12,0,0,7,0.85,LeftArrow
13,100,3,7,1.6834,LeftArrow
14,83,5,7,0.81668,RightArrow
15,67,2,7,1.5668,RightArrow
16,50,2,7,1,LeftArrow
17,33,2,7,0.93333,RightArrow
18,33,4,7,1.2,LeftArrow
19,100,1,7,0.95003,RightArrow
20,17,3,7,1.5833,LeftArrow
21,0,1,7,1.0334,LeftArrow
22,67,0,7,0.65003,RightArrow
23,0,4,7,1.05,LeftArrow
24,17,5,7,1.6334,LeftArrow
25,0,5,7,0.83336,LeftArrow
26,83,3,7,0.91667,RightArrow
27,17,5,7,1.1,LeftArrow
28,83,7,7,1.5166,RightArrow
29,83,6,7,1.1833,RightArrow
30,0,4,7,0.90009,LeftArrow
31,33,0,7,0.90004,RightArrow
32,17,2,7,0.81672,LeftArrow
33,83,1,7,0.78329,RightArrow
34,100,5,7,1.0501,RightArrow
35,83,5,7,1.4501,RightArrow
36,100,0,7,0.90002,RightArrow
37,17,4,7,0.58339,LeftArrow
38,67,0,7,0.60006,RightArrow
39,100,2,7,1.0499,LeftArrow
40,17,3,7,0.88339,LeftArrow
41,50,3,7,1.6001,RightArrow
42,0,2,7,0.98335,LeftArrow
43,83,7,7,2.5,RightArrow
44,67,4,7,1.2,RightArrow
45,33,6,7,1.0167,RightArrow
46,50,3,7,1.0167,LeftArrow
47,33,2,7,1.1167,LeftArrow
48,67,6,7,0.80005,RightArrow
49,100,7,7,1.7,RightArrow
50,83,4,7,0.58332,LeftArrow
51,100,1,7,1.0668,RightArrow
52,33,5,7,1.2164,RightArrow
53,50,4,7,1.1334,RightArrow
54,17,4,7,1.05,LeftArrow
55,50,0,7,0.61669,RightArrow
56,50,1,7,1.1334,RightArrow
57,0,3,7,1.2167,RightArrow
58,100,2,7,1.2833,RightArrow
59,33,4,7,0.76668,LeftArrow
60,50,0,7,1.0667,RightArrow
61,17,6,7,1.3,LeftArrow
62,83,4,7,0.85002,RightArrow
63,83,2,7,0.93339,RightArrow
64,17,0,7,1.05,RightArrow
65,67,2,7,1.317,RightArrow
66,33,5,7,0.79997,LeftArrow
67,17,0,7,1.1167,LeftArrow
68,50,7,7,0.7834,LeftArrow
69,83,6,7,1.2834,LeftArrow
70,67,5,7,0.85003,LeftArrow
71,0,7,7,1.0166,LeftArrow
72,33,0,7,0.73338,LeftArrow
73,67,4,7,0.70004,LeftArrow
74,83,2,7,1.6001,LeftArrow
75,17,1,7,0.65008,LeftArrow
76,0,3,7,0.91689,LeftArrow
77,67,1,7,0.59999,RightArrow
78,67,3,7,0.75,RightArrow
79,100,3,7,0.86672,RightArrow
80,0,6,7,0.9167,LeftArrow
81,50,6,7,1.2834,LeftArrow
82,17,6,7,1.85,RightArrow
83,67,3,7,0.71669,RightArrow
84,33,1,7,1.4334,LeftArrow
85,100,7,7,0.75003,RightArrow
86,67,7,7,0.76667,RightArrow
87,100,0,7,0.73329,RightArrow
88,17,1,7,0.93338,LeftArrow
89,33,7,7,1.0334,RightArrow
90,67,6,7,0.85004,RightArrow
91,33,7,7,0.8335,LeftArrow
92,67,5,7,0.85004,RightArrow
93,83,0,7,0.55002,RightArrow
94,33,3,7,0.68336,RightArrow
95,100,6,7,0.73334,RightArrow
96,17,7,7,0.70002,LeftArrow
97,50,2,7,0.90003,RightArrow
98,100,4,7,0.61673,RightArrow
99,50,1,7,0.56672,RightArrow
100,0,5,7,1.05,LeftArrow
101,17,7,7,0.70005,RightArrow
102,50,5,7,0.91671,RightArrow
103,50,4,7,0.76669,LeftArrow
104,100,6,7,0.73335,RightArrow
105,67,1,7,0.61672,RightArrow
106,0,0,7,1.0167,LeftArrow
107,50,5,7,1.6834,LeftArrow
108,100,4,7,0.5667,RightArrow
109,50,7,7,0.7334,RightArrow
110,83,1,7,0.74998,RightArrow
111,83,3,7,0.63337,RightArrow
112,33,6,7,0.91672,RightArrow
