ntrl,morph,pos,ecc,rt,response
1,100,7,7,1.7835,RightArrow
2,83,2,7,1.3,RightArrow
3,33,6,7,1.4666,LeftArrow
4,83,6,7,0.95008,RightArrow
5,83,3,7,1.6667,RightArrow
6,33,7,7,1.4501,LeftArrow
7,33,0,7,2.1667,LeftArrow
8,100,7,7,3.7501,RightArrow
9,33,3,7,1.2833,LeftArrow
10,17,0,7,0.95006,LeftArrow
11,0,7,7,0.99999,LeftArrow
12,83,5,7,1.6,RightArrow
13,67,2,7,2.6667,RightArrow
14,67,6,7,1.1167,RightArrow
15,67,5,7,1.5,LeftArrow
16,50,2,7,1.6167,LeftArrow
17,0,6,7,0.8168,LeftArrow
18,50,3,7,1.35,RightArrow
19,33,3,7,1.7834,LeftArrow
20,17,0,7,1.7335,LeftArrow
21,67,0,7,2.1667,RightArrow
22,67,4,7,0.96667,RightArrow
23,33,2,7,2.5001,RightArrow
24,0,3,7,1.8001,LeftArrow
25,17,1,7,2.65,RightArrow
26,50,1,7,2.2167,RightArrow
27,17,6,7,1.5667,LeftArrow
28,83,7,7,1.2667,RightArrow
29,0,2,7,0.91664,LeftArrow
30,17,5,7,1.0167,LeftArrow
31,0,4,7,0.84999,LeftArrow
32,67,1,7,1.0501,RightArrow
33,100,4,7,0.95002,RightArrow
34,17,7,7,0.9334,LeftArrow
35,100,0,7,0.85,RightArrow
36,83,6,7,1.5834,RightArrow
37,50,5,7,1.0001,RightArrow
38,67,5,7,1.1167,RightArrow
39,67,1,7,1.2166,LeftArrow
40,0,1,7,1.0667,LeftArrow
41,17,3,7,0.98335,LeftArrow
42,100,4,7,0.66674,RightArrow
43,33,4,7,1.6834,RightArrow
44,50,4,7,1.3667,RightArrow
45,83,5,7,1.6333,RightArrow
46,0,5,7,0.81668,LeftArrow
47,67,7,7,2.9667,RightArrow
48,67,3,7,2.0668,RightArrow
49,50,3,7,0.95031,RightArrow
50,17,5,7,0.79998,LeftArrow
51,50,4,7,1.5167,RightArrow
52,17,2,7,1.1001,LeftArrow
53,0,0,7,0.76664,LeftArrow
54,100,1,7,1.0001,RightArrow
55,100,1,7,1.0001,RightArrow
56,83,3,7,1.4501,RightArrow
57,100,3,7,1.35,RightArrow
58,100,5,7,1.4334,LeftArrow
59,83,1,7,1.75,RightArrow
60,67,7,7,0.75002,LeftArrow
61,50,1,7,1.0666,LeftArrow
62,67,4,7,0.91667,RightArrow
63,100,0,7,0.99994,RightArrow
64,50,0,7,0.83337,LeftArrow
65,33,5,7,1.1167,LeftArrow
66,0,0,7,0.71674,LeftArrow
67,33,1,7,1.5334,LeftArrow
68,33,1,7,0.56661,LeftArrow
69,100,5,7,0.71667,RightArrow
70,67,3,7,1.2167,RightArrow
71,50,7,7,0.74999,LeftArrow
72,67,0,7,0.68331,RightArrow
73,67,6,7,1.15,RightArrow
74,17,4,7,0.7667,LeftArrow
75,100,2,7,0.65003,RightArrow
76,100,6,7,0.78334,RightArrow
77,17,4,7,0.93339,LeftArrow
78,33,5,7,0.63335,LeftArrow
79,0,6,7,0.7834,RightArrow
80,83,0,7,0.74999,RightArrow
81,0,4,7,0.53345,LeftArrow
82,50,0,7,0.61672,RightArrow
83,0,7,7,0.66666,LeftArrow
84,0,3,7,0.80002,LeftArrow
85,83,7,7,0.66667,RightArrow
86,17,2,7,0.93338,LeftArrow
87,83,4,7,0.70005,RightArrow
88,17,6,7,1.4667,LeftArrow
89,50,6,7,0.88341,LeftArrow
90,50,2,7,1.1166,LeftArrow
91,0,1,7,0.70005,LeftArrow
92,33,4,7,0.73338,RightArrow
93,17,7,7,0.9833,LeftArrow
94,50,6,7,1.5333,RightArrow
95,0,2,7,0.98332,LeftArrow
96,100,3,7,0.79999,RightArrow
97,100,2,7,0.96668,RightArrow
98,83,0,7,0.99999,RightArrow
99,33,2,7,1.5166,LeftArrow
100,33,0,7,0.84993,LeftArrow
101,67,2,7,0.85003,RightArrow
102,33,7,7,0.66669,LeftArrow
103,33,6,7,1.8167,LeftArrow
104,50,7,7,0.75007,LeftArrow
105,83,2,7,1.4001,RightArrow
106,83,4,7,0.7666,RightArrow
107,17,3,7,0.83332,LeftArrow
108,100,6,7,1.0666,RightArrow
109,17,1,7,1.85,RightArrow
110,50,5,7,0.83339,LeftArrow
111,0,5,7,1.0001,LeftArrow
112,83,1,7,0.96669,RightArrow
